Domestic_Gross_M,Budget_M
82.2,150
336.5,258
54.2,35
131.9,130
11,75
319.3,150
115.8,110
47,61
25,53
35.8,17
12.8,39
47.5,80
39.7,17.5
10.2,26
309.4,300
134.5,110
70.1,180
140.1,140
36.8,70
210.6,65
38.6,70
292,150
217.3,70
58.9,85
126.6,150
15.6,47
97.8,100
322.7,160
66.7,75
39.7,20
95.7,60
18.3,35
13.2,6
121.5,20
100.5,175
120.1,85
90.6,22
25.9,20
43.1,28
127.8,85
35,25
36.8,60
148.8,33
43.8,35
183.1,75
19.4,19
118.6,61
168.3,90
11.1,10
24.5,9
93.5,45
11.9,17.5
15.8,20
15,35
18.4,15
28.6,21
47.9,20
32.1,25
63.3,10
17.6,10
41.8,40
20.8,15
39.6,32
25.6,18
58.3,20
25.1,40
61.4,14
52.9,50
118.9,75
55.2,15
19.1,2
53.7,30
24.3,45
50.6,40
15.1,80
18.2,70
33.1,65
80.2,20
130.2,100
227.5,110
256.4,150
117.2,85
28.6,20
220,130
25.6,20
53.6,48
12.7,15
44.1,27
12.6,1.7
72.3,40
87.3,26
228,150
31.7,30
36.1,45
141.6,200
52.1,55
318.3,186
134.5,137.5
80.1,25
15.3,45
317,185
101.2,80
130.3,80
7.9,45
22.5,45
11,33
102.3,145
101.7,45
44,120
80.2,82.5
42.8,47.5
20.1,20
40.7,35
8.1,35
166.8,230
17.8,6
24.9,21
75.8,82.5
39.2,67.5
26.4,20
134.3,75
45.6,140
7.8,38
38.1,12
11.8,60
46.7,78
94.5,20
8.4,19
70.2,72.5
48,37
94.8,105
12.4,25
176.9,150
109.9,150
154.5,85
50.9,55
35.2,8.5
19.4,30
30.1,37
215.4,200
8.2,12
9.8,37.5
38.2,30
20.7,22
19.2,20
11.2,20
32.2,62
32.9,40
60.4,37
37.9,13
100.5,65
25.9,65
12.1,0
60.3,70
48.2,25
42.2,35
32,7
66.7,28
110.5,90
100,80
89.7,11
76.8,30
80.3,35
106.5,55
12.3,60
7.6,10
46,40
31.5,10
10,15
143.8,66
118.3,80
152.7,57.5
16.3,20
62.9,30
11.5,30
14.2,20
110.1,80
31.2,58
9.5,7
13.3,20
97.7,70
33.5,2.6
7.8,15
56.8,10.8
81.2,35
39.3,20
15.7,30
40.1,60
7.7,3.5
13,2.5
42,20
37.1,10
41.7,30
33.5,0.5
12.8,12
13.9,13.5
37.4,11
35.7,55
18.7,25
17.7,10
25.5,25.1
60,55
148.1,33
17.2,30
26.8,40
8.7,12.5
10.9,25
9.4,4
26.9,16
58,17.5
71.2,92.5
79,160
43.9,18
52.6,9
25.9,8
30.7,35
31.7,12
26.9,20
17.4,25
13.6,5
31.4,12
176.8,37
31.3,24
22.8,16
64.5,48
21,35
23.5,22
30.1,20
28.7,35
74.3,100
83.1,75
119.4,150
25.7,25
146.3,26
10,3
14,40
165.6,200
760.5,237
115.6,30
10.3,40
75.6,23.6
125.3,200
38.6,80
145,25
13.7,12.9
150.2,175
10.3,35
67.2,50
9.4,30
177.2,150
31.8,38
12.2,20
65.5,100
9.1,50
179.9,150
20.5,12.5
402.1,210
257.7,140
155.1,85
38.1,50
45.8,35
107.5,130
16,20
25.4,50
209,90
35.9,59
77.2,100
25.2,45
14.2,40
43.3,60
7.9,25
17.3,60
302,250
42.2,70
219.5,75
124.9,100
75.3,60
104.4,105
198.4,175
196.6,90
19.6,65
21,40
31.7,30
137.9,200
36.8,20
94.1,40
97.1,100
37.5,60
49.5,35
44.3,70
8,50
33.9,15
14.8,18
58.8,30
8.7,17
32.4,25
17.2,20
10.8,7.5
16.1,55
73,35
71.4,40
29.6,58
109.2,60
60.1,42
24,18
33.3,22
277.3,35
9.5,21
5.3,15
164,40
32.4,7.5
88.9,38
112.7,85
55.3,50
18.5,18.5
94,25
79.6,35
6.4,15
64.2,20
22.5,18
16,9.8
5.2,20
16.2,16
7.5,29
12.1,5
51.9,75
51.5,14
73.4,53
37,60
72.1,60
9.2,21
19.7,80
80,50
49.2,27.5
49.4,100
10.6,5
63.4,39
296.6,50
23,18
9.2,7
13,15
12.6,7.5
55.4,30
28.6,
31.7,60
68.3,20
15.1,30
44,65
28.5,26
33.4,15
27.7,11
66.5,40
41.6,30
107.9,0
65,19
42.7,16
42.1,30
12,12.5
15.5,14
25.5,10
29.1,20
133.4,150
