word,countUni,count,name,party,state,vote,sex
"voto",1,1,"Abel Mesquita Jr","DEM","RR","SIM","M"
"voto",1,1,"Carlos Andrade","PHS","RR","SIM","M"
"voto",1,1,"Édio Lopes","PR","RR","NAO","M"
"voto",1,1,"Hiran Gonçalves","PP","RR","SIM","M"
"voto",1,1,"Jhonatan de Jesus","PRB","RR","SIM","M"
"voto",1,1,"Maria Helena","PSB","RR","SIM","F"
"voto",1,1,"Remídio Monai","PR","RR","SIM","M"
"voto",2,2,"Shéridan","PSDB","RR","SIM","F"
"voto",0,0,"Afonso Hamm","PP","RS","SIM","M"
"voto",0,0,"Afonso Motta","PDT","RS","NAO","M"
"voto",1,1,"Alceu Moreira","PMDB","RS","SIM","M"
"voto",0,0,"Bohn Gass","PT","RS","NAO","M"
"voto",1,1,"Carlos Gomes","PRB","RS","SIM","M"
"voto",1,1,"Covatti Filho","PP","RS","SIM","M"
"voto",1,1,"Danrlei de Deus Hinterholz","PSD","RS","SIM","M"
"voto",1,1,"Darcísio Perondi","PSD","RS","SIM","M"
"voto",1,1,"Giovani Cherini","PDT","RS","SIM","M"
"voto",1,1,"Heitor Schuch","PSB","RS","SIM","M"
"voto",2,2,"Henrique Fontana","PT","RS","NAO","M"
"voto",0,0,"Jerônimo Goergen","PP","RS","SIM","M"
"voto",1,1,"João Derly","REDE","RS","SIM","M"
"voto",1,1,"José Fogaça","PMDB","RS","SIM","M"
"voto",1,1,"José Otávio Germano","PP","RS","SIM","M"
"voto",1,1,"José Stédile","PSB","RS","SIM","M"
"voto",1,1,"Luiz Carlos Heinze","PP","RS","SIM","M"
"voto",1,1,"Luis Carlos Busato","PTB","RS","SIM","M"
"voto",2,3,"Marco Maia","PT","RS","NAO","M"
"voto",2,2,"Marcon","PT","RS","NAO","M"
"voto",2,2,"Maria do Rosário","PT","RS","NAO","M"
"voto",1,1,"Mauro Pereira","PMDB","RS","SIM","M"
"voto",1,1,"Nelson Marchezan Junior","PSDB","RS","SIM","M"
"voto",0,0,"Onyx Lorenzoni","DEM","RS","SIM","M"
"voto",0,0,"Osmar Terra","PMDB","RS","SIM","M"
"voto",1,1,"Paulo Pimenta","PT","RS","NAO","M"
"voto",1,1,"Pepe Vargas","PT","RS","NAO","M"
"voto",1,1,"Renato Molling","PP","RS","SIM","M"
"voto",1,1,"Ronaldo Nogueira","PTB","RS","SIM","M"
"voto",1,1,"Sérgio Moraes","PTB","RS","SIM","M"
"voto",1,1,"Carmen Zanotto","PPS","SC","SIM","F"
"voto",1,1,"Celso Maldaner","PMDB","SC","SIM","M"
"voto",1,1,"Cesar Souza","PSD","SC","SIM","M"
"voto",1,1,"Décio Lima","PT","SC","NAO","M"
"voto",1,1,"Esperidião Amin","PP","SC","SIM","M"
"voto",0,0,"Geovania de Sá","PSDB","SC","SIM","F"
"voto",1,1,"João Paulo Kleinübing","PSD","SC","SIM","M"
"voto",1,1,"João Rodrigues","PSD","SC","SIM","M"
"voto",1,1,"Jorge Boeira","PP","SC","SIM","M"
"voto",1,1,"Jorginho Mello","PR","SC","SIM","M"
"voto",1,1,"Marco Tebaldi","PSDB","SC","SIM","M"
"voto",1,1,"Mauro Mariani","PMDB","SC","SIM","M"
"voto",2,2,"Pedro Uczai","PT","SC","NAO","M"
"voto",1,1,"Rogério Peninha Mendonça","PMDB","SC","SIM","M"
"voto",1,1,"Ronaldo Benedet","PMDB","SC","SIM","M"
"voto",1,1,"Valdir Colatto","PMDB","SC","SIM","M"
"voto",1,1,"André Abdon","PP","AP","SIM","M"
"voto",1,1,"Cabuçu Borges","PMDB","AP","SIM","M"
"voto",2,2,"Janete Capiberibe","PSB","AP","NAO","F"
"voto",1,2,"Jozi Araújo","PTN","AP","NAO","F"
"voto",1,1,"Marcos Reategui","PSD","AP","SIM","M"
"voto",1,1,"Professora Marcivania","PCDOB","AP","NAO","F"
"voto",1,1,"Roberto Góes","PDT","AP","NAO","M"
"voto",1,1,"Arnaldo Jordy","PPS","PA","SIM","M"
"voto",1,1,"Beto Faro","PT","PA","NAO","M"
"voto",1,1,"Delegado Éder Mauro","PSD","PA","SIM","M"
"voto",1,1,"Edmilson Rodrigues","PSOL","PA","NAO","M"
"voto",1,1,"Elcione Barbalho","PMDB","PA","NAO","F"
"voto",0,0,"Francisco Chapadinha","PTN","PA","SIM","M"
"voto",1,1,"Hélio Leite","DEM","PA","SIM","M"
"voto",0,0,"Joaquim Passarinho","PSD","PA","SIM","M"
"voto",1,1,"José Priante","PMDB","PA","SIM","M"
"voto",1,1,"Josué Bengston","PTB","PA","SIM","M"
"voto",1,1,"Júlia Marinho","PSC","PA","SIM","F"
"voto",1,1,"Lúcio Vale","PR","PA","NAO","M"
"voto",1,1,"Nilson Pinto","PSDB","PA","SIM","M"
"voto",0,0,"Simone Morgado","PMDB","PA","NAO","F"
"voto",0,0,"Wladimir Costa","SD","PA","SIM","M"
"voto",0,0,"Zé Geraldo","PT","PA","NAO","M"
"voto",3,3,"Alex Canziani","PTB","PR","SIM","M"
"voto",1,1,"Alfredo Kaefer","PSL","PR","SIM","M"
"voto",1,1,"Aliel Machado","REDE","PR","NAO","M"
"voto",1,1,"Assis do Couto","PDT","PR","NAO","M"
"voto",1,1,"Christiane de Souza Yared","PR","PR","SIM","F"
"voto",0,0,"Diego Garcia","PHS","PR","SIM","M"
"voto",1,1,"Dilceu Sperafico","PP","PR","SIM","M"
"voto",1,1,"Enio Verri","PT","PR","NAO","M"
"voto",1,1,"Evandro Roman","PSD","PR","SIM","M"
"voto",1,1,"Fernando Francischini","SD","PR","SIM","F"
"voto",1,1,"Giacobo","PR","PR","SIM","M"
"voto",2,2,"Hermes Parcianello","PMDB","PR","SIM","M"
"voto",1,1,"João Arruda","PMDB","PR","SIM","M"
"voto",1,1,"Leandre","PV","PR","SIM","F"
"voto",2,2,"Leopoldo Meyer","PSB","PR","SIM","M"
"voto",0,0,"Luciano Ducci","PSB","PR","SIM","M"
"voto",1,1,"Luiz Carlos Hauly","PSDB","PR","SIM","M"
"voto",1,1,"Luiz Nishimori","PR","PR","SIM","M"
"voto",1,1,"Marcelo Belinati","PP","PR","SIM","M"
"voto",1,1,"Nelson Meurer","PP","PR","SIM","M"
"voto",1,1,"Nelson Padovani","PSDB","PR","SIM","M"
"voto",1,1,"Osmar Serraglio","PMDB","PR","SIM","M"
"voto",1,1,"Paulo Martins","PSDB","PR","SIM","M"
"voto",1,1,"Ricardo Barros","PP","PR","SIM","M"
"voto",1,1,"Rubens Bueno","PPS","PR","SIM","M"
"voto",1,1,"Sandro Alex","PSD","PR","SIM","M"
"voto",1,1,"Sergio Souza","PMDB","PR","SIM","M"
"voto",2,2,"Takayama","PSC","PR","SIM","M"
"voto",1,1,"Toninho Wandscheer","PROS","PR","SIM","M"
"voto",2,2,"Zeca Dirceu","PT","PR","NAO","M"
"voto",1,1,"Carlos Marun","PMDB","MS","SIM","M"
"voto",1,1,"Dagoberto","PDT","MS","NAO","M"
"voto",2,2,"Elizeu Dionizio","PSDB","MS","SIM","M"
"voto",1,1,"Geraldo Resende","PSDB","MS","SIM","M"
"voto",1,1,"Madetta","DEM","MS","SIM","M"
"voto",1,1,"Tereza Cristina","PSB","MS","SIM","F"
"voto",1,1,"Vander Loubet","PT","MS","NAO","M"
"voto",1,1,"Zeca do PT","PT","MS","NAO","M"
"voto",5,5,"Alfredo Nascimento","PR","AM","SIM","M"
"voto",1,1,"Arthur Virgílio Bisneto","PSDB","AM","SIM","M"
"voto",1,1,"Átila Lins","PSD","AM","SIM","M"
"voto",1,1,"Conceição Sampaio","PP","AM","SIM","F"
"voto",4,4,"Hissa Abrahão","PDT","AM","SIM","M"
"voto",1,1,"Marcos Rotta","PMDB","AM","SIM","M"
"voto",1,1,"Pauderney Avelino","DEM","AM","SIM","M"
"voto",1,1,"Silas Câmara","PRB","AM","SIM","M"
"voto",2,2,"Expedito Netto","PSD","RO","SIM","M"
"voto",1,1,"Lindomar Garçon","PRB","RO","SIM","M"
"voto",1,1,"Lucio Mosquini","PMDB","RO","SIM","M"
"voto",0,0,"Luiz Cláudio","PR","RO","SIM","M"
"voto",1,1,"Marcos Rogério","DEM","RO","SIM","M"
"voto",0,0,"Mariana Carvalho","PSDB","RO","SIM","F"
"voto",1,1,"Marinha Raupp","PMDB","RO","SIM","F"
"voto",1,1,"Nilton Capixaba","PTB","RO","SIM","M"
"voto",1,1,"Alexandre Baldy","PTN","GO","SIM","M"
"voto",0,0,"Célio Silveira","PSDB","GO","SIM","M"
"voto",1,1,"Daniel Vilela","PMDB","GO","SIM","M"
"voto",1,1,"Delegado Waldir","PR","GO","SIM","M"
"voto",0,0,"Fábio Souza","PSDB","GO","SIM","M"
"voto",1,1,"Flávia Morais","PDT","GO","SIM","F"
"voto",1,1,"Giuseppe Vecci","PSDB","GO","SIM","M"
"voto",1,1,"Heuler Cruvinel","PSD","GO","SIM","M"
"voto",1,1,"João Campos","PRB","GO","SIM","M"
"voto",1,1,"Jovair Arantes","PTB","GO","SIM","M"
"voto",1,1,"Lucas Vergilio","SD","GO","SIM","M"
"voto",1,1,"Magda Mofatto","PR","GO","SIM","F"
"voto",1,1,"Marcos Abrão","PPS","GO","SIM","M"
"voto",1,1,"Pedro Chaves","PMDB","GO","SIM","M"
"voto",1,1,"Roberto Balestra","PP","GO","SIM","M"
"voto",1,1,"Rubens Otoni","PT","GO","NAO","M"
"voto",1,1,"Thiago Peixoto","PSD","GO","SIM","M"
"voto",1,3,"Alberto Fraga","DEM","DF","SIM","M"
"voto",1,1,"Augusto Carvalho","SD","DF","SIM","M"
"voto",2,2,"Erika Kokay","PT","DF","NAO","F"
"voto",1,1,"Izalci","PSDB","DF","SIM","M"
"voto",1,1,"Laerte Bessa","PR","DF","SIM","M"
"voto",1,1,"Rogério Rosso","PSD","DF","SIM","M"
"voto",1,1,"Ronaldo Fonseca","PROS","DF","SIM","M"
"voto",1,1,"Rôney Nemer","PP","DF","SIM","M"
"voto",1,1,"Alan Rick","PRB","AC","SIM","M"
"voto",1,1,"Angelim","PT","AC","NAO","M"
"voto",1,1,"César Messias","PSB","AC","NAO","M"
"voto",1,1,"Flaviano Melo","PMDB","AC","SIM","M"
"voto",2,2,"Jéssica Sales","PMDB","AC","SIM","F"
"voto",2,2,"Leo de Brito","PT","AC","NAO","M"
"voto",1,1,"Rocha","PSDB","AC","SIM","M"
"voto",1,1,"Sibá Machado","PT","AC","NAO","M"
"voto",1,1,"Carlos Henrique Gaguim","PTN","TO","SIM","M"
"voto",1,1,"César Halum","PRB","TO","SIM","M"
"voto",2,2,"Dulce Miranda","PMDB","TO","SIM","F"
"voto",1,1,"Irajá Abreu","PSD","TO","NAO","M"
"voto",1,1,"Josi Nunes","PMDB","TO","SIM","F"
"voto",1,1,"Lázaro Botelho","PP","TO","SIM","M"
"voto",1,1,"Professora Dorinha Seabra Rezende","DEM","TO","SIM","F"
"voto",2,2,"Vicentinho Júnior","PR","TO","NAO","M"
"voto",1,1,"Adilton Sachetti","PSB","MT","SIM","M"
"voto",2,2,"Carlos Bezerra","PMDB","MT","SIM","M"
"voto",1,1,"Fabio Garcia","PSB","MT","SIM","M"
"voto",1,1,"Nilson Leitão","PSDB","MT","SIM","M"
"voto",1,1,"Professor Victório Galli","PSC","MT","SIM","M"
"voto",1,1,"Ságuas Moraes","PT","MT","NAO","M"
"voto",1,1,"Tampinha","PSD","MT","SIM","M"
"voto",1,1,"Valtenir Pereira","PMDB","MT","NAO","M"
"voto",1,1,"Alex Manente","PPS","SP","SIM","M"
"voto",1,1,"Alexandre Leite","DEM","SP","SIM","M"
"voto",1,1,"Ana Perugini","PT","SP","NAO","F"
"voto",1,1,"Andres Sanchez","PT","SP","NAO","M"
"voto",1,1,"Antonio Bulhões","PRB","SP","SIM","M"
"voto",1,1,"Arlindo Chinaglia","PT","SP","NAO","M"
"voto",1,1,"Arnaldo Faria de Sá","PTB","SP","SIM","M"
"voto",1,1,"Arnaldo Jardim","PPS","SP","SIM","M"
"voto",1,1,"Baleia Rossi","PMDB","SP","SIM","M"
"voto",1,1,"Beto Mansur","PRB","SP","SIM","M"
"voto",1,1,"Bruna Furlan","PSDB","SP","SIM","F"
"voto",1,1,"Bruno Covas","PSDB","SP","SIM","M"
"voto",1,1,"Capitão Augusto","PR","SP","SIM","M"
"voto",1,1,"Carlos Sampaio","PSDB","SP","SIM","M"
"voto",1,1,"Carlos Zarattini","PT","SP","NAO","M"
"voto",1,2,"Celso Russomano","PRB","SP","SIM","M"
"voto",0,0,"Dr. Sinval Malheiros","PTN","SP","SIM","M"
"voto",1,1,"Duarte Nogueira","PSDB","SP","SIM","M"
"voto",1,1,"Edinho Araújo","PMDB","SP","SIM","M"
"voto",0,1,"Eduardo Bolsonaro","PSC","SP","SIM","M"
"voto",1,1,"Eduardo Cury","PSDB","SP","SIM","M"
"voto",0,0,"Eli Corrêa Filho","DEM","SP","SIM","M"
"voto",1,1,"Evandro Gussi","PV","SP","SIM","M"
"voto",0,0,"Fausto Pinato","PP","SP","SIM","M"
"voto",1,1,"Flavinho","PSB","SP","SIM","M"
"voto",0,0,"Floriano Pesaro","PSDB","SP","SIM","M"
"voto",1,1,"Gilberto Nascimento","PSC","SP","SIM","M"
"voto",1,1,"Goulart","PSD","SP","SIM","M"
"voto",1,1,"Guilherme Mussi","PP","SP","SIM","M"
"voto",2,2,"Herculano Passos","PSD","SP","SIM","M"
"voto",0,0,"Ivan Valente","PSOL","SP","NAO","M"
"voto",1,1,"Jefferson Campos","PSD","SP","SIM","M"
"voto",1,1,"João Paulo Papa","PSDB","SP","SIM","M"
"voto",1,1,"Jorge Tadeu Mudalen","DEM","SP","SIM","M"
"voto",1,1,"José Mentor","PT","SP","NAO","M"
"voto",1,1,"Keiko Ota","PSB","SP","SIM","F"
"voto",1,1,"Luiz Lauro Filho","PSB","SP","SIM","M"
"voto",1,1,"Luiza Erundina","PSOL","SP","NAO","F"
"voto",0,0,"Major Olímpio","SD","SP","SIM","M"
"voto",1,1,"Mara Gabrilli","PSDB","SP","SIM","F"
"voto",1,1,"Marcelo Squassoni","PRB","SP","SIM","M"
"voto",1,1,"Marcio Alvino","PR","SP","SIM","M"
"voto",1,1,"Miguel Haddad","PSDB","SP","SIM","M"
"voto",1,1,"Miguel Lombardi","PR","SP","SIM","M"
"voto",2,2,"Milton Monti","PR","SP","SIM","M"
"voto",1,1,"Missionário José Olímpio","DEM","SP","SIM","M"
"voto",1,1,"Nelson Marquezelli","PTB","SP","SIM","M"
"voto",0,0,"Nilto Tato","PT","SP","NAO","M"
"voto",2,2,"Orlando Silva","PCDOB","SP","NAO","M"
"voto",1,1,"Paulo Freire","PR","SP","SIM","M"
"voto",1,1,"Paulo Maluf","PP","SP","SIM","M"
"voto",1,1,"Paulo Pereira da Silva","SD","SP","SIM","M"
"voto",1,3,"Paulo Teixeira","PT","SP","NAO","M"
"voto",1,1,"Pastor Marcos Feliciano","PSC","SP","SIM","M"
"voto",0,0,"Renata Abreu","PTN","SP","SIM","F"
"voto",1,1,"Ricardo Izar","PP","SP","SIM","M"
"voto",0,0,"Ricardo Tripoli","PSDB","SP","SIM","M"
"voto",1,1,"Roberto Alves","PRB","SP","SIM","M"
"voto",1,1,"Roberto de Lucena","PV","SP","SIM","M"
"voto",1,1,"Rodrigo Garcia","DEM","SP","SIM","M"
"voto",1,1,"Samuel Moreira","PSDB","SP","SIM","M"
"voto",1,1,"Sérgio Reis","PRB","SP","SIM","M"
"voto",0,0,"Silvio Torres","PSDB","SP","SIM","M"
"voto",1,1,"Tiririca","PR","SP","SIM","M"
"voto",1,1,"Valmir Prascidelli","PT","SP","NAO","M"
"voto",2,2,"Vanderlei Macris","PSDB","SP","SIM","M"
"voto",1,1,"Vicente Candido","PT","SP","NAO","M"
"voto",1,1,"Vicentinho","PT","SP","NAO","M"
"voto",1,2,"Vinicius Carvalho","PRB","SP","SIM","M"
"voto",1,1,"Vitor Lippi","PSDB","SP","SIM","M"
"voto",1,1,"Alberto Filho","PMDB","MA","SIM","M"
"voto",1,1,"Aluisio Mendes","PTN","MA","NAO","M"
"voto",1,1,"André Fufuca","PP","MA","SIM","M"
"voto",0,0,"Cleber Verde","PRB","MA","SIM","M"
"voto",1,1,"Eliziane Gama","PPS","MA","SIM","F"
"voto",1,1,"Hildo Rocha","PMDB","MA","SIM","M"
"voto",1,1,"João Castelo","PSDB","MA","SIM","M"
"voto",2,2,"João Marcelo Souza","PMDB","MA","NAO","M"
"voto",1,1,"José Reinaldo","PSB","MA","SIM","M"
"voto",1,1,"Junior Marreca","PEN","MA","NAO","M"
"voto",1,1,"Juscelino Filho","DEM","MA","SIM","M"
"voto",1,1,"Pedro Fernandes","PTB","MA","NAO","M"
"voto",1,1,"Rubens Pereira Júnior","PCDOB","MA","NAO","M"
"voto",1,1,"Sarney Filho","PV","MA","SIM","M"
"voto",2,2,"Victor Mendes","PSD","MA","SIM","M"
"voto",1,1,"Waldir Maranhão","PP","MA","NAO","M"
"voto",0,0,"Weverton Rocha","PDT","MA","NAO","M"
"voto",0,0,"Zé Carlos","PT","MA","NAO","M"
"voto",2,2,"Adail Carneiro","PP","CE","SIM","M"
"voto",1,1,"Ariosto Holanda","PDT","CE","NAO","M"
"voto",1,1,"Arnon Bezerra","PTB","CE","NAO","M"
"voto",1,1,"Cabo Sabino","PR","CE","SIM","M"
"voto",1,1,"Chico Lopes","PCDOB","CE","NAO","M"
"voto",2,2,"Danilo Forte","PSB","CE","SIM","M"
"voto",1,1,"Domingos Neto","PSD","CE","NAO","M"
"voto",1,1,"Genecias Noronha","SD","CE","SIM","M"
"voto",2,2,"José Airton Cirilo","PT","CE","NAO","M"
"voto",1,2,"José Guimarães","PT","CE","NAO","M"
"voto",1,1,"Leônidas Cristino","PDT","CE","NAO","M"
"voto",1,1,"Luizianne Lins","PT","CE","NAO","F"
"voto",1,1,"Macedo","PP","CE","NAO","M"
"voto",1,1,"Moroni Torgan","DEM","CE","SIM","M"
"voto",1,1,"Moses Rodrigues","PMDB","CE","SIM","M"
"voto",0,0,"Odorico Monteiro","PROS","CE","NAO","M"
"voto",0,0,"Raimundo Gomes de Matos","PSDB","CE","SIM","M"
"voto",1,1,"Ronaldo Martins","PRB","CE","SIM","M"
"voto",1,1,"Vicente Arruda","PDT","CE","NAO","M"
"voto",1,1,"Vitor Valim","PMDB","CE","SIM","M"
"voto",2,2,"Alessandro Molon","REDE","RJ","NAO","M"
"voto",1,1,"Alexandre Serfiotis","PMDB","RJ","SIM","M"
"voto",1,1,"Alexandre Valle","PR","RJ","SIM","M"
"voto",1,1,"Altineu Côrtes","PMDB","RJ","SIM","M"
"voto",2,2,"Arolde de Oliveira","PSC","RJ","SIM","M"
"voto",2,2,"Aureo","SD","RJ","SIM","M"
"voto",0,1,"Benedita da Silva","PT","RJ","NAO","F"
"voto",1,1,"Cabo Daciolo","PTDOB","RJ","SIM","M"
"voto",1,1,"Celso Pansera","PMDB","RJ","NAO","M"
"voto",1,1,"Chico Alencar","PSOL","RJ","NAO","M"
"voto",1,1,"Chico D'Angelo","PT","RJ","NAO","M"
"voto",1,1,"Cristiane Brasil","PTB","RJ","SIM","F"
"voto",1,1,"Deley","PTB","RJ","SIM","M"
"voto",2,2,"Dr. João","PR","RJ","SIM","M"
"voto",1,1,"Eduardo Cunha","PMDB","RJ","SIM","M"
"voto",1,1,"Ezequiel Teixeira","PTN","RJ","SIM","M"
"voto",2,2,"Felipe Bornier","PROS","RJ","SIM","M"
"voto",0,0,"Fernando Jordão","PMDB","RJ","SIM","M"
"voto",0,0,"Francisco Floriano","DEM","RJ","SIM","M"
"voto",10,10,"Glauber Braga","PSOL","RJ","NAO","M"
"voto",1,1,"Hugo Leal","PSB","RJ","SIM","M"
"voto",0,0,"Indio da Costa","PSD","RJ","SIM","M"
"voto",1,1,"Jair Bolsonaro","PSC","RJ","SIM","M"
"voto",2,2,"Jandira Feghali","PCDOB","RJ","NAO","F"
"voto",1,1,"Jean Wyllys","PSOL","RJ","NAO","M"
"voto",1,1,"Julio Lopes","PP","RJ","SIM","M"
"voto",1,1,"Leonardo Picciani","PMDB","RJ","NAO","M"
"voto",1,1,"Luiz Carlos Ramos","PTN","RJ","SIM","M"
"voto",2,2,"Luiz Sérgio","PT","RJ","NAO","M"
"voto",1,1,"Marcelo Matos","PHS","RJ","SIM","M"
"voto",1,1,"Marco Antônio Cabral","PMDB","RJ","SIM","M"
"voto",0,0,"Marcos Soares","DEM","RJ","SIM","M"
"voto",1,1,"Miro Teixeira","REDE","RJ","SIM","M"
"voto",1,1,"Otavio Leite","PSDB","RJ","SIM","M"
"voto",1,1,"Paulo Feijó","PR","RJ","SIM","M"
"voto",1,1,"Pedro Paulo","PMDB","RJ","SIM","M"
"voto",1,1,"Roberto Sales","PRB","RJ","SIM","M"
"voto",1,1,"Rodrigo Maia","DEM","RJ","SIM","M"
"voto",1,1,"Rosangela Gomes","PRB","RJ","SIM","F"
"voto",1,1,"Sergio Zveiter","PMDB","RJ","SIM","M"
"voto",1,1,"Simão Sessim","PP","RJ","SIM","M"
"voto",1,1,"Soraya Santos","PMDB","RJ","SIM","F"
"voto",1,1,"Sóstenes Cavalcante","DEM","RJ","SIM","M"
"voto",1,1,"Wadih Damous","PT","RJ","NAO","M"
"voto",1,1,"Washington Reis","PMDB","RJ","SIM","M"
"voto",0,0,"Carlos Manato","SD","ES","SIM","M"
"voto",1,1,"Dr. Jorge Silva","PHS","ES","SIM","M"
"voto",1,1,"Evair de Melo","PV","ES","SIM","M"
"voto",1,1,"Givaldo Vieira","PT","ES","NAO","M"
"voto",1,1,"Helder Salomão","PT","ES","NAO","M"
"voto",0,0,"Lelo Coimbra","PMDB","ES","SIM","M"
"voto",1,1,"Marcus Vicente","PP","ES","SIM","M"
"voto",1,1,"Max Filho","PSDB","ES","SIM","M"
"voto",1,1,"Paulo Foletto","PSB","ES","SIM","M"
"voto",1,2,"Sérgio Vidigal","PDT","ES","SIM","M"
"voto",0,0,"Assis Carvalho","PT","PI","NAO","M"
"voto",1,1,"Átila Lira","PSB","PI","SIM","M"
"voto",1,1,"Capitão Fábio Abreu","PTB","PI","NAO","M"
"voto",7,7,"Heráclito Fortes","PSB","PI","SIM","M"
"voto",1,1,"Iracema Portella","PP","PI","SIM","F"
"voto",1,1,"Júlio César","PSD","PI","SIM","M"
"voto",1,1,"Marcelo Castro","PMDB","PI","NAO","M"
"voto",1,1,"Paes Landim","PTB","PI","NAO","M"
"voto",1,1,"Rejane Dias","PT","PI","NAO","F"
"voto",1,1,"Rodrigo Martins","PSB","PI","SIM","M"
"voto",1,1,"Antônio Jácome","PTN","RN","SIM","M"
"voto",2,3,"Beto Rosado","PP","RN","SIM","M"
"voto",1,1,"Fábio Faria","PSD","RN","SIM","M"
"voto",1,1,"Felipe Maia","DEM","RN","SIM","M"
"voto",1,1,"Rafael Motta","PSB","RN","SIM","M"
"voto",1,1,"Rogério Marinho","PSDB","RN","SIM","M"
"voto",1,2,"Walter Alves","PMDB","RN","SIM","M"
